test_name,class,iterations,total_time_ms,per_iter_ms,clean_exit,list_file
Old/m153si.tst,A,371,1561,4,yes,Old/universal.lst
Old/m154si.tst,A,1000,11,0,yes,Old/universal.lst
Old/m15ex.tst,A,121,5882,48,yes,Old/universal.lst
Old/m15si.tst,A,1000,44,0,yes,Old/universal.lst
Old/m16ex.tst,A,122,0,0,no,Old/universal.lst
Old/m16si.tst,A,1000,141,0,yes,Old/universal.lst
Old/m17ex.tst,A,1000,1837,1,yes,Old/universal.lst
Old/m17si.tst,A,1000,25,0,yes,Old/universal.lst
Old/m18ex.tst,A,127,5776,45,yes,Old/universal.lst
Old/m18si.tst,A,1000,115,0,yes,Old/universal.lst
Old/m19ex.tst,A,73,7203,98,yes,Old/universal.lst
Old/m19si.tst,A,1000,43,0,yes,Old/universal.lst
Old/m1ex.tst,A,1000,8284,8,yes,Old/universal.lst
Old/m1si.tst,A,1000,41,0,yes,Old/universal.lst
Old/m1st.tst,A,1000,963,0,yes,Old/universal.lst
Old/m20si.tst,A,1000,85,0,yes,Old/universal.lst
Old/m21si.tst,A,1000,201,0,yes,Old/universal.lst
Old/m22si.tst,A,1000,108,0,yes,Old/universal.lst
Old/m23si.tst,A,1000,65,0,yes,Old/universal.lst
Old/m24si.tst,A,244,8751,35,yes,Old/universal.lst
Old/m27si.tst,A,1000,4283,4,yes,Old/universal.lst
Old/m28si.tst,A,1000,790,0,yes,Old/universal.lst
Old/m29si.tst,A,1000,172,0,yes,Old/universal.lst
Old/m2ex.tst,A,1000,3741,3,yes,Old/universal.lst
Old/m2si.tst,A,1000,39,0,yes,Old/universal.lst
Old/m30si.tst,A,1000,36,0,yes,Old/universal.lst
Old/m31si.tst,A,1000,52,0,yes,Old/universal.lst
Old/m32si.tst,A,1000,47,0,yes,Old/universal.lst
Old/m33si.tst,A,1000,50,0,yes,Old/universal.lst
Old/m34si.tst,A,1000,32,0,yes,Old/universal.lst
Old/m35si.tst,A,1000,162,0,yes,Old/universal.lst
Old/m36si.tst,A,1000,156,0,yes,Old/universal.lst
Old/m37si.tst,A,1000,73,0,yes,Old/universal.lst
Old/m38si.tst,A,1000,106,0,yes,Old/universal.lst
Old/m39si.tst,A,1000,205,0,yes,Old/universal.lst
Old/m3ex.tst,A,286,3215,11,yes,Old/universal.lst
Old/m3si.tst,A,1000,788,0,yes,Old/universal.lst
Old/m40si.tst,A,1000,217,0,yes,Old/universal.lst
Old/m41si.tst,A,1000,231,0,yes,Old/universal.lst
Old/m42si.tst,A,1000,807,0,yes,Old/universal.lst
Old/m43si.tst,A,1000,19,0,yes,Old/universal.lst
Old/m44si.tst,A,1000,423,0,yes,Old/universal.lst
Old/m45si.tst,A,1000,389,0,yes,Old/universal.lst
Old/m46si.tst,A,1000,42,0,yes,Old/universal.lst
Old/m47si.tst,A,1000,311,0,yes,Old/universal.lst
Old/m48si.tst,A,1000,4280,4,yes,Old/universal.lst
Old/m49si.tst,A,1000,61,0,yes,Old/universal.lst
Old/m4ex.tst,A,1000,1220,1,yes,Old/universal.lst
Old/m4si.tst,A,1000,61,0,yes,Old/universal.lst
Old/m50si.tst,A,1000,81,0,yes,Old/universal.lst
Old/m51si.tst,A,1000,188,0,yes,Old/universal.lst
Old/m52si.tst,A,1000,829,0,yes,Old/universal.lst
Old/m53si.tst,A,1000,73,0,yes,Old/universal.lst
Old/m54si.tst,A,1000,57,0,yes,Old/universal.lst
Old/m55si.tst,A,1000,128,0,yes,Old/universal.lst
Old/m56si.tst,A,1000,56,0,yes,Old/universal.lst
Old/m57si.tst,A,1000,85,0,yes,Old/universal.lst
Old/m58si.tst,A,1000,121,0,yes,Old/universal.lst
Old/m59si.tst,A,1000,90,0,yes,Old/universal.lst
Old/m5ex.tst,A,295,2373,8,yes,Old/universal.lst
Old/m5si.tst,A,1000,58,0,yes,Old/universal.lst
Old/m60si.tst,A,1000,492,0,yes,Old/universal.lst
Old/m61si.tst,A,1000,153,0,yes,Old/universal.lst
Old/m62si.tst,A,1000,178,0,yes,Old/universal.lst
Old/m63si.tst,A,1000,473,0,yes,Old/universal.lst
Old/m64si.tst,A,1000,367,0,yes,Old/universal.lst
Old/m65si.tst,A,1000,354,0,yes,Old/universal.lst
Old/m66si.tst,A,1000,31,0,yes,Old/universal.lst
Old/m67si.tst,A,1000,58,0,yes,Old/universal.lst
Old/m68si.tst,A,1000,981,0,yes,Old/universal.lst
Old/m69si.tst,A,1000,102,0,yes,Old/universal.lst
Old/m6ex.tst,A,176,4150,23,yes,Old/universal.lst
Old/m6si.tst,A,1000,58,0,yes,Old/universal.lst
Old/m70si.tst,A,1000,256,0,yes,Old/universal.lst
Old/m71si.tst,A,1000,116,0,yes,Old/universal.lst
Old/m72si.tst,A,1000,99,0,yes,Old/universal.lst
Old/m73si.tst,A,1000,265,0,yes,Old/universal.lst
Old/m74si.tst,A,1000,68,0,yes,Old/universal.lst
Old/m75si.tst,A,1000,187,0,yes,Old/universal.lst
Old/m76si.tst,A,1000,341,0,yes,Old/universal.lst
Old/m77si.tst,A,1000,801,0,yes,Old/universal.lst
Old/m78si.tst,A,1000,230,0,yes,Old/universal.lst
Old/m79si.tst,A,1000,117,0,yes,Old/universal.lst
Old/m7ex.tst,A,304,8047,26,yes,Old/universal.lst
Old/m7si.tst,A,1000,57,0,yes,Old/universal.lst
Old/m80si.tst,A,1000,150,0,yes,Old/universal.lst
Old/m81si.tst,A,1000,108,0,yes,Old/universal.lst
Old/m82si.tst,A,1000,64,0,yes,Old/universal.lst
Old/m83si.tst,A,1000,66,0,yes,Old/universal.lst
Old/m84si.tst,A,1000,922,0,yes,Old/universal.lst
Old/m85si.tst,A,1000,433,0,yes,Old/universal.lst
